Gene	Operon
SM2011_a0647	730
SM2011_a0657	731
SM2011_a0667	732
SM2011_a0675	733
SM2011_a0682	734
SM2011_a0690	735
SM2011_a0693	736
SM2011_a0707	737
SM2011_a0722	738
SM2011_a0734	739
SM2011_c00912	158
SM2011_a0751	741
SM2011_a0662	742
SM2011_a0765	743
SM2011_a0773	744
SM2011_a0779	745
SM2011_a0781	746
SM2011_a0791	747
SM2011_a0814	748
SM2011_a0822	749
SM2011_a0833	750
SM2011_a0841	751
SM2011_a5029	752
SM2011_a0848	753
SM2011_a0852	754
SM2011_a0855	755
SM2011_a0869	756
SM2011_a0872	757
SM2011_a0876	758
SM2011_a5005	759
SM2011_a0888	760
SM2011_a0909	761
SM2011_a0933	762
SM2011_a0939	763
SM2011_a0943	764
SM2011_a0953	765
SM2011_a0956	766
SM2011_a0988	767
SM2011_a0997	768
SM2011_a1017	769
SM2011_a1030	770
SM2011_a1033	771
SM2011_a1057	772
SM2011_a1063	773
SM2011_a1070	774
SM2011_a1077	775
SM2011_a1084	776
SM2011_a1087	777
SM2011_a1100	778
SM2011_a1120	779
SM2011_a1139	780
SM2011_a1141	781
SM2011_a1146	782
SM2011_a1154	783
SM2011_a1161	784
SM2011_a1168	785
SM2011_a1174	786
SM2011_a1179	787
SM2011_a1195	788
SM2011_a1200	789
SM2011_a1211	790
SM2011_a1220	791
SM2011_a1229	792
SM2011_a1241	793
SM2011_a1259	794
SM2011_a1272	795
SM2011_a1276	796
SM2011_a1288	797
SM2011_a1289	798
SM2011_a1299	799
SM2011_a1311	800
SM2011_a1322	801
SM2011_a1334	802
SM2011_a1339	803
SM2011_a1344	804
SM2011_a1353	805
SM2011_a1363	806
SM2011_a1377	807
SM2011_a1386	808
SM2011_a1400	809
SM2011_a1409	810
SM2011_a1415	811
SM2011_a1427	812
SM2011_a1431	813
SM2011_a1438	814
SM2011_a1452	815
SM2011_a1456	816
SM2011_a1461	817
SM2011_a1467	818
SM2011_a1478	819
SM2011_a1485	820
SM2011_a1491	821
SM2011_a1493	822
SM2011_a1503	823
SM2011_a1505	824
SM2011_a1533	825
SM2011_a1538	826
SM2011_a1545	827
SM2011_a1552	828
SM2011_a1568	829
SM2011_a1576	830
SM2011_a1593	831
SM2011_a1604	832
SM2011_a1610	833
SM2011_a1615	834
SM2011_a1617	835
SM2011_a1636	836
SM2011_a1639	837
SM2011_a1651	838
SM2011_a1652	839
SM2011_a1658	840
SM2011_a1664	841
SM2011_a1668	842
